Nummer;Datum;Ort;Name_voll;GND;Wiki;Journalnummer;Aufbewahrungsort;Aufbewahrungsinstitution;Jahr;VON/AN;person_id;name_gnd;gender_gnd;birth_gnd;occupations_gnd;publications_gnd;degrees_gnd;coordinates_wiki_x;text;url;coordinates_wiki_y;place_id
2138;04.11.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1826;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 144/R;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2140;19.11.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1826;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 144/R;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2154;27.02.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1827;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 144/R;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2164;28.03.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1827;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 144/R;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2184;05.09.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1827;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 144/R;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2193;05.12.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1827;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 115/t;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2238;19.03.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1829;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 115-18/t;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2242;03.04.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1829;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 145/R;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2257;31.07.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1829;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 119/t;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2288;02.02.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1830;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 123/t;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2366;02.06.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1831;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 124;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2435;26.07.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1832;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 127;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2546;29.08.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1836;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 146/R;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2553;28.10.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1836;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 137;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
2706;13.03.;Aarau;Johann Heinrich Tanner;1060060795;https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner;;Aarau;Staatsarchiv;1841;AN;lassberg-correspondent-0201;Tanner, Johann Heinrich;male;1799;Textilhandel,Politiker;-;-;47.4,8.05;Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃŸberg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 138;https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60;47.4,8.05;lassberg-place-0001
398;14.12.;Aarau;Johann Martin Usteri;11880362X;https://de.wikipedia.org/wiki/Johann_Martin_Usteri;;ZÃ¼rich;Zentralbibliothek;1821;VON;lassberg-correspondent-0210;Usteri, Johann Martin;male;1763;Schriftsteller,Zeichner,KÃ¼nstler,Maler;4;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
405;11.05.;Aarau;Johann Rudolf Wyss;117349666;https://de.wikipedia.org/wiki/Johann_Rudolf_Wyss;66;Bern;Burgerbibliothek;1822;VON;lassberg-correspondent-0215;Wyss, Johann Rudolf;male;1781;Schriftsteller,Philosoph;7;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
400;18.01.;Aarau;Joseph GÃ¶rres;11854019X;https://de.wikipedia.org/wiki/Joseph_G%C3%B6rres;?;;;1822;VON;lassberg-correspondent-0231;GÃ¶rres, Joseph von;male;1776;Historiker,Publizist;10;Prof.;47.4,8.05;Franz Binder (Hg.), Joseph von GÃ¶rres. Gesammelte Briefe. Bd. 3, MÃ¼nchen 1874, S. 5-9;https://books.google.de/books?id=j5RhAAAAcAAJ;47.4,8.05;lassberg-place-0001
1883;15.12.;Aarau;Joseph GÃ¶rres;11854019X;https://de.wikipedia.org/wiki/Joseph_G%C3%B6rres;;;;1820;AN;lassberg-correspondent-0231;GÃ¶rres, Joseph von;male;1776;Historiker,Publizist;10;Prof.;47.4,8.05;Franz Binder (Hg.), Joseph von GÃ¶rres. Gesammelte Briefe. Bd. 2, MÃ¼nchen 1874, S. 625;https://books.google.de/books?id=CJxhAAAAcAAJ;47.4,8.05;lassberg-place-0001
1891;22.01.;Aarau;Joseph GÃ¶rres;11854019X;https://de.wikipedia.org/wiki/Joseph_G%C3%B6rres;;;;1821;AN;lassberg-correspondent-0231;GÃ¶rres, Joseph von;male;1776;Historiker,Publizist;10;Prof.;47.4,8.05;CÃ¤cilia Freiin von Droste-HÃ¼lshoff, Josef GÃ¶rres und der Freiherr Josef von LaÃŸberg. In: Tremonia vom 8.2.1926. Ebenso in: KÃ¶lnische Volkszeitung Nr.96 vom 7.2.1926, S. 21;-;47.4,8.05;lassberg-place-0001
1924;24.09.;Aarau;Joseph GÃ¶rres;11854019X;https://de.wikipedia.org/wiki/Joseph_G%C3%B6rres;;;;1821;AN;lassberg-correspondent-0231;GÃ¶rres, Joseph von;male;1776;Historiker,Publizist;10;Prof.;47.4,8.05;Franz Binder (Hg.), Joseph von GÃ¶rres. Gesammelte Briefe. Bd. 2, MÃ¼nchen 1874, S. 639;https://books.google.de/books?id=CJxhAAAAcAAJ;47.4,8.05;lassberg-place-0001
396;21.10.;Aarau;Philipp LÃ¼thard;-;-;;Luzern;Staatsarchiv;1821;VON;lassberg-correspondent-0323;-;-;-;-;-;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
397;01.12.;Aarau;Philipp LÃ¼thard;-;-;;Luzern;Staatsarchiv;1821;VON;lassberg-correspondent-0323;-;-;-;-;-;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
399;22.12.;Aarau;Philipp LÃ¼thard;-;-;;Luzern;Staatsarchiv;1822;VON;lassberg-correspondent-0323;-;-;-;-;-;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
403;04.04.;Aarau;Philipp LÃ¼thard;-;-;;Luzern;Staatsarchiv;1822;VON;lassberg-correspondent-0323;-;-;-;-;-;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
395;10.10.;Aarau;Samuel Amsler;116010991;https://de.wikipedia.org/wiki/Samuel_Amsler;;Winterthur;Stadtbibliothek;1821;VON;lassberg-correspondent-0335;Amsler, Samuel;male;1791;Kupferstecher,KÃ¼nstler;2;-;47.4,8.05;;;47.4,8.05;lassberg-place-0001
256;08.12.;Ägeri (Zug);Elisabeth zu FÃ¼rstenberg;136284124;https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg;;Donaueschingen;FÃ¼rstlich FÃ¼rstenbergisches Archiv;1817;VON;lassberg-correspondent-0076;FÃ¼rstenberg, Elisabeth zu;female;1767;-;-;-;-;Karl Siegfried Bader, Abentheuerlicher Bericht Ã¼ber eine Schweizerreise im Dezember 1817. In: Heimat-KlÃ¤nge. Kulturelle Beilage zu den Zuger Nachrichten Nr. 12 und 13 vom 7./12.9.1956, S. 7.9.1956;-;-;lassberg-place-0002
2515;April;Alme;Dieterich von Bocholtz;116213361;https://de.wikipedia.org/wiki/Dieterich_von_Bocholtz;;Hinnenburg;Archiv Bocholtz-Asseburg;1835;AN;lassberg-correspondent-0073;Bocholtz-Meschede, Dietrich Werner von;male;1797;Politiker;-;-;-;;;-;lassberg-place-0003
902;23.05.;Altenau;Johann Leonhard Hug;118707884;https://de.wikipedia.org/wiki/Johann_Leonhard_Hug;;Winterthur;Stadtbibliothek;1836;VON;lassberg-correspondent-0206;Hug, Johann Leonhard;male;1765;Katholischer Theologe,Orientalist,Alttestamentler,Hochschullehrer,Priester;9;Prof. Dr. theol.;-;;;-;lassberg-place-0004
2345;14.02.;Altikon;Adolf Ludwig Follen;116646772;https://de.wikipedia.org/wiki/Adolf_Ludwig_Follen;;Winterthur;Stadtbibliothek;1831;AN;lassberg-correspondent-0004;Follen, August Adolf Ludwig;male;1794;Schriftsteller,Philosoph,Philologe;4;-;47.56666667,8.78333333;;;47.56666667,8.78333333;lassberg-place-0005
2245;19.04.;Ansbach;Karl Heinrich von Lang;118726285;https://de.wikipedia.org/wiki/Karl_Heinrich_von_Lang;;Freiburg i.Br.;UniversitÃ¤tsbibliothek;1829;AN;lassberg-correspondent-0258;Lang, Karl Heinrich von;male;1764;Historiker,Publizist,Archivar;11;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
2255;13.07.;Ansbach;Karl Heinrich von Lang;118726285;https://de.wikipedia.org/wiki/Karl_Heinrich_von_Lang;;Freiburg i.Br.;UniversitÃ¤tsbibliothek;1829;AN;lassberg-correspondent-0258;Lang, Karl Heinrich von;male;1764;Historiker,Publizist,Archivar;11;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
2300;29.03.;Ansbach;Karl Heinrich von Lang;118726285;https://de.wikipedia.org/wiki/Karl_Heinrich_von_Lang;;Freiburg i.Br.;UniversitÃ¤tsbibliothek;1830;AN;lassberg-correspondent-0258;Lang, Karl Heinrich von;male;1764;Historiker,Publizist,Archivar;11;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
2954;01.09.;Ansbach;Ludwig von Madroux;102520011;https://d-nb.info/gnd/102520011;;Dortmund;Stadt- und Landesbibliothek;1847;AN;lassberg-correspondent-0289;Madroux, Ludwig von;notKnown;-;-;-;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
2959;30.10.;Ansbach;Ludwig von Madroux;102520011;https://d-nb.info/gnd/102520011;;Dortmund;Stadt- und Landesbibliothek;1847;AN;lassberg-correspondent-0289;Madroux, Ludwig von;notKnown;-;-;-;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
2961;24.11.;Ansbach;Ludwig von Madroux;102520011;https://d-nb.info/gnd/102520011;;Dortmund;Stadt- und Landesbibliothek;1847;AN;lassberg-correspondent-0289;Madroux, Ludwig von;notKnown;-;-;-;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
2963;24.12.;Ansbach;Ludwig von Madroux;102520011;https://d-nb.info/gnd/102520011;;Dortmund;Stadt- und Landesbibliothek;1847;AN;lassberg-correspondent-0289;Madroux, Ludwig von;notKnown;-;-;-;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
2966;17.01.;Ansbach;Ludwig von Madroux;102520011;https://d-nb.info/gnd/102520011;;Dortmund;Stadt- und Landesbibliothek;1848;AN;lassberg-correspondent-0289;Madroux, Ludwig von;notKnown;-;-;-;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
2974;12.02.;Ansbach;Ludwig von Madroux;102520011;https://d-nb.info/gnd/102520011;;Dortmund;Stadt- und Landesbibliothek;1848;AN;lassberg-correspondent-0289;Madroux, Ludwig von;notKnown;-;-;-;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
2980;17.03.;Ansbach;Ludwig von Madroux;102520011;https://d-nb.info/gnd/102520011;;Dortmund;Stadt- und Landesbibliothek;1848;AN;lassberg-correspondent-0289;Madroux, Ludwig von;notKnown;-;-;-;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
2981;21.03.;Ansbach;Ludwig von Madroux;102520011;https://d-nb.info/gnd/102520011;;Dortmund;Stadt- und Landesbibliothek;1848;AN;lassberg-correspondent-0289;Madroux, Ludwig von;notKnown;-;-;-;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
3127;27.11.;Ansbach;Max von Madroux;11665533X;-;;Dortmund;Stadt- und Landesbibliothek;1851;AN;lassberg-correspondent-0301;Madroux, Max von;male;1820;Major;-;-;49.3,10.58333333;;;49.3,10.58333333;lassberg-place-0006
1131;28.06.;Ãœberlingen;Albert Lucian Constans Schott;11692313X;https://de.wikipedia.org/wiki/Albert_Schott_(Volkskundler);165;Stuttgart;WÃ¼rttembergische Landesbibliothek;1841;VON;lassberg-correspondent-0005;Schott, Albert;male;1809;Historiker,Linguist,Gymnasiallehrer;6;-;47.76666667,9.165;;;-;lassberg-place-0007
1134;12.07.;Ãœberlingen;Bartholome Loppacher;-;-;172;Karlsruhe;Badische Landesbibliothek;1841;VON;lassberg-correspondent-0036;-;-;-;-;-;-;47.76666667,9.165;;;-;lassberg-place-0007
1058;29.07.;Ãœberlingen;Casimir Pfyffer von Altishofen;11874092X;https://de.wikipedia.org/wiki/Casimir_Pfyffer;127;Luzern;Zentralbibliothek;1839;VON;lassberg-correspondent-0062;Pfyffer von Altishofen, Kasimir;male;1794;Jurist,Publizist,Politiker;6;Dr.;47.76666667,9.165;;;-;lassberg-place-0007
1130;24.06.;Ãœberlingen;Franz Viktor Pfeiffer;118740776;https://de.wikipedia.org/wiki/Franz_Pfeiffer_(Germanist);162;Stuttgart;WÃ¼rttembergische Landesbibliothek;1841;VON;lassberg-correspondent-0109;Pfeiffer, Franz;male;1815;Philologe,Germanist,Bibliothekar,Literaturwissenschaftler;9;Prof. Dr.;47.76666667,9.165;Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von LaÃŸberg und Ludwig Uhland. Wien 1870, S. 269;https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1;-;lassberg-place-0007
1132;02.07.;Ãœberlingen;Hermann von Liebenau;116987650;https://de.wikipedia.org/wiki/Hermann_von_Liebenau;?;Donaueschingen;FÃ¼rstlich FÃ¼rstenbergisches Archiv;1841;VON;lassberg-correspondent-0160;Liebenau, Hermann von;male;1807;Arzt,Historiker;-;Dr. med.;47.76666667,9.165;;;-;lassberg-place-0007
1301;10.07.;Ãœberlingen;Johann Caspar Zellweger;116978813;https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger;113;Trogen;Kantonsbibliothek Appenzell A.Rh.;1846;VON;lassberg-correspondent-0193;Zellweger, Johann Caspar;male;1768;Kaufmann,Historiker;4;-;47.76666667,9.165;;;-;lassberg-place-0007
1300;27.06.;Ãœberlingen;Josef von Bergmann;116133147;https://de.wikipedia.org/wiki/Josef_von_Bergmann;101;Feldkirch;Bundesgymnasium;1846;VON;lassberg-correspondent-0223;Bergmann, Joseph;male;1796;Historiker,Numismatiker,Genealoge;4;-;47.76666667,9.165;;;-;lassberg-place-0007
3174;25.07.;Ãœberlingen;Stiehle;-;-;;Karlsruhe;Badische Landesbibliothek;1854;AN;lassberg-correspondent-0343;-;-;-;-;-;-;47.76666667,9.165;;;-;lassberg-place-0007
1133;09.07.;Ãœberlingen;Wilhelm Wackernagel;118805851;https://de.wikipedia.org/wiki/Wilhelm_Wackernagel;171;Basel;Staatsarchiv des Kantons Basel-Stadt;1841;VON;lassberg-correspondent-0367;Wackernagel, Wilhelm;male;1806;Gymnasiallehrer,Germanist,Freimaurer,Schriftsteller;9;Prof.;47.76666667,9.165;Wackernagel: Albert Leitzmann, Briefe aus dem NachlaÃŸ Wilhelm Wackernagels. VI.: Briefe von Joseph von LaÃŸberg. In: Abhandlungen der phil.-hist. Klasse der Kgl. SÃ¤chsischen Gesellschaft der Wissenschaften 34,1. Leipzig 1916, S. 92-130, S. 123;-;-;lassberg-place-0007
2605;11.03.;Arbon;Thomas Bornhauser;133373177;https://de.wikipedia.org/wiki/Thomas_Bornhauser;;Donaueschingen;FÃ¼rstlich FÃ¼rstenbergisches Archiv;1838;AN;lassberg-correspondent-0350;Bornhauser, Thomas;male;1799;Politiker,Pfarrer,Theologe,Publizist,Schriftsteller;6;-;47.51666667,9.43333333;;;47.51666667,9.43333333;lassberg-place-0008
2024;26.08.;Arenenberg;Philippe-FranÃ§ois-Joseph Le Bas;130589365;https://de.wikipedia.org/wiki/Philippe-Fran%C3%A7ois-Joseph_Le_Bas;;Bern;Burgerbibliothek;1824;AN;lassberg-correspondent-0324;Le Bas, Philippe FranÃ§ois Joseph;notKnown;1762;Politiker;1;-;47.67277778,9.05916667;;;47.67277778,9.05916667;lassberg-place-0009
2046;18.03.;Arenenberg;Philippe-FranÃ§ois-Joseph Le Bas;130589365;https://de.wikipedia.org/wiki/Philippe-Fran%C3%A7ois-Joseph_Le_Bas;;Bern;Burgerbibliothek;1825;AN;lassberg-correspondent-0324;Le Bas, Philippe FranÃ§ois Joseph;notKnown;1762;Politiker;1;-;47.67277778,9.05916667;;;47.67277778,9.05916667;lassberg-place-0009
2050;27.03.;Arenenberg;Philippe-FranÃ§ois-Joseph Le Bas;130589365;https://de.wikipedia.org/wiki/Philippe-Fran%C3%A7ois-Joseph_Le_Bas;;Bern;Burgerbibliothek;1825;AN;lassberg-correspondent-0324;Le Bas, Philippe FranÃ§ois Joseph;notKnown;1762;Politiker;1;-;47.67277778,9.05916667;;;47.67277778,9.05916667;lassberg-place-0009
2051;29.03.;Arenenberg;Philippe-FranÃ§ois-Joseph Le Bas;130589365;https://de.wikipedia.org/wiki/Philippe-Fran%C3%A7ois-Joseph_Le_Bas;;Bern;Burgerbibliothek;1825;AN;lassberg-correspondent-0324;Le Bas, Philippe FranÃ§ois Joseph;notKnown;1762;Politiker;1;-;47.67277778,9.05916667;;;47.67277778,9.05916667;lassberg-place-0009
