Nummer|Datum|Ort|Name_voll|GND|Wiki|Journalnummer|Aufbewahrungsort|Aufbewahrungsinstitution|Jahr|VON/AN|person_id|name_gnd|gender_gnd|birth_gnd|occupations_gnd|publications_gnd|degrees_gnd|coordinates_wiki|text|url|place_id|date|letter_text|status_letter_text
13|26.09.|Helmsdorf|Luise zu Stolberg-Gedern|116275316|https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824)||Karlsruhe|Badische Landesbibliothek|1802|VON|lassberg-correspondent-0291|Albany, Louise Maximiliane Caroline Emanuele of|female|1752|-|2|-|-|||lassberg-place-0067|1802-09-26||
14|01.10.|Heiligenberg|Karl Joachim (Fürstenberg-Stühlingen)|1017810869|https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen)||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1802|VON|lassberg-correspondent-0259|Karl Joachim, Fürstenberg, Fürst|male|1771|Soldat|-|-|47.82083333,9.3125|||lassberg-place-0066|1802-10-01||
15|02.10.|Heiligenberg|Schneider|-|-||Karlsruhe|Badische Landesbibliothek|1802|VON|lassberg-correspondent-0336|-|-|-|-|-|-|47.82083333,9.3125|||lassberg-place-0066|1802-10-02||
16|30.10.|Heiligenberg|Karl Joachim (Fürstenberg-Stühlingen)|1017810869|https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen)||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1802|VON|lassberg-correspondent-0259|Karl Joachim, Fürstenberg, Fürst|male|1771|Soldat|-|-|47.82083333,9.3125|||lassberg-place-0066|1802-10-30||
17|14.11.|Helmsdorf|Luise zu Stolberg-Gedern|116275316|https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824)||Karlsruhe|Badische Landesbibliothek|1802|VON|lassberg-correspondent-0291|Albany, Louise Maximiliane Caroline Emanuele of|female|1752|-|2|-|-|||lassberg-place-0067|1802-11-14||
18|16.11.|Helmsdorf|Joseph von Bayer|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1802|VON|lassberg-correspondent-0239|-|-|-|-|-|-|-|||lassberg-place-0067|1802-11-16||
19|12.06.|Heiligenberg|Luise zu Stolberg-Gedern|116275316|https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824)||Karlsruhe|Badische Landesbibliothek|1803|VON|lassberg-correspondent-0291|Albany, Louise Maximiliane Caroline Emanuele of|female|1752|-|2|-|47.82083333,9.3125|||lassberg-place-0066|1803-06-12||
20|10.07.|Unbekannt|Luise zu Stolberg-Gedern|116275316|https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824)||Karlsruhe|Badische Landesbibliothek|1804|VON|lassberg-correspondent-0291|Albany, Louise Maximiliane Caroline Emanuele of|female|1752|-|2|-|-|||lassberg-place-0152|1804-07-10||
21|20.01.|Unbekannt|Luise zu Stolberg-Gedern|116275316|https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824)||Karlsruhe|Badische Landesbibliothek|1804|VON|lassberg-correspondent-0291|Albany, Louise Maximiliane Caroline Emanuele of|female|1752|-|2|-|-|||lassberg-place-0152|1804-01-20||
22|06.02.|Heiligenberg|Luise zu Stolberg-Gedern|116275316|https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824)||Karlsruhe|Badische Landesbibliothek|1804|VON|lassberg-correspondent-0291|Albany, Louise Maximiliane Caroline Emanuele of|female|1752|-|2|-|47.82083333,9.3125|||lassberg-place-0066|1804-02-06||
23|28.03.|Heiligenberg|Luise zu Stolberg-Gedern|116275316|https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824)||Karlsruhe|Badische Landesbibliothek|1804|VON|lassberg-correspondent-0291|Albany, Louise Maximiliane Caroline Emanuele of|female|1752|-|2|-|47.82083333,9.3125|||lassberg-place-0066|1804-03-28||
24|21.06.|Donaueschingen|Joachim Egon zu Fürstenberg|143295446|https://de.wikipedia.org/wiki/Joachim_Egon_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1804|VON|lassberg-correspondent-0177|Fürstenberg-Weitra, Joachim Eugen zu|male|1749|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1804-06-21||
25|06.10.|Donaueschingen|Fürstlich Fürstenbergische Forstkammer|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1804|VON|lassberg-correspondent-0129|-|-|-|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1804-10-06||
26|08.07.|Donaueschingen|Joachim Egon zu Fürstenberg|143295446|https://de.wikipedia.org/wiki/Joachim_Egon_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0177|Fürstenberg-Weitra, Joachim Eugen zu|male|1749|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1805-07-08||
27|08.07.|Unbekannt|Joachim Egon zu Fürstenberg|143295446|https://de.wikipedia.org/wiki/Joachim_Egon_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0177|Fürstenberg-Weitra, Joachim Eugen zu|male|1749|-|-|-|-|||lassberg-place-0152|1805-07-08||
28|29.07.|Unbekannt|Hofkammer|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0165|-|-|-|-|-|-|-|||lassberg-place-0152|1805-07-29||
29|31.07.|Unbekannt|Xaver Merk|-|-||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0371|-|-|-|-|-|-|-|||lassberg-place-0152|1805-07-31||
30|01.09.|Möskirch|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|1/|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0095|1805-09-01||
31|02.09.|Jungenau|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|Feb 87|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0072|1805-09-02||
32|09.09.|Hagingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|Mrz 88|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0063|1805-09-09||
33|16.09.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|4/|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1805-09-16||
34|16.09.|Neufra|Maximiliane Lassberg|116004177|-|91|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0304|Lassberg, Maximiliane|female|-|-|-|-|48.24666667,9.18277778|||lassberg-place-0106|1805-09-16||
35|18.09.|Möskirch|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|Mai 92|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0095|1805-09-18||
36|21.09.|Möskirch|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|Jun 93|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0095|1805-09-21||
37|23.09.|Möskirch|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|Jul 94|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0095|1805-09-23||
38|28.09.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|Aug 97|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1805-09-28||
39|05.10.|Donaueschingen|Maximiliane Lassberg|116004177|-|101|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0304|Lassberg, Maximiliane|female|-|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1805-10-05||
40|12.10.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|10/104|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1805-10-12||
41|22.10.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|11/110|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1805-10-22||
42|13.11.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|12/117|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1805-11-13||
43|04.12.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|13/129|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1805-12-04||
44|18.12.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|14/136|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1805-12-18||
45|25.12.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|15/138|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1805|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1805-12-25||
46|10.01.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|16. Sep|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-01-10||
47|18.01.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|17/15|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-01-18||
48|22.01.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|18/21|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-01-22||
49|25.01.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|19/25|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-01-25||
50|29.01.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|20/32|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-01-29||
51|01.02.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|21/39|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-02-01||
52|10.02.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|22/73|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-02-10||
53|15.02.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|23/43|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-02-15||
54|19.02.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|24/49|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-02-19||
55|22.02.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|25/56|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-02-22||
56|05.03.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|26/65|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-03-05||
57|08.03.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|21/71|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-03-08||
58|22.03.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|28/81|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-03-22||
59|26.03.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|29/855|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-03-26||
60|29.03.|Unbekannt|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|30/86|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0152|1806-03-29||
61|06.04.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|31/93|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1806|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1806-04-06||
62|12.04.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|32/96|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-04-12||
63|12.04.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-04-12||
64|16.04.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|33/101|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-04-16||
65|19.04.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|34/106|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-04-19||
66|23.04.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|35/109|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-04-23||
67|30.04.|Unbekannt|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|36/|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0152|1807-04-30||
68|03.05.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|37/118|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-05-03||
69|22.05.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|38/134|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-05-22||
70|29.01.|Heiligenberg|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|86|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.82083333,9.3125|||lassberg-place-0066|1807-01-29||
71|-|Unbekannt|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg|111|Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0152|||
72|28.06.|Unbekannt|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0152|1807-06-28||
73|12.08.|Donaueschingen|Johann Leonhard Hug|118707884|https://de.wikipedia.org/wiki/Johann_Leonhard_Hug||Freiburg i.Br.|Universitätsbibliothek|1807|VON|lassberg-correspondent-0206|Hug, Johann Leonhard|male|1765|Katholischer Theologe,Orientalist,Alttestamentler,Hochschullehrer,Priester|9|Prof. Dr. theol.|47.95305556,8.50333333|||lassberg-place-0037|1807-08-12||
74|10.09.|Donaueschingen|Joachim Egon zu Fürstenberg|143295446|https://de.wikipedia.org/wiki/Joachim_Egon_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0177|Fürstenberg-Weitra, Joachim Eugen zu|male|1749|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-09-10||
75|26.09.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-09-26||
76|26.09.|Unbekannt|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0152|1807-09-26||
77|30.09.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-09-30||
78|03.10.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-10-03||
79|04.10.|Donaueschingen|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|47.95305556,8.50333333|||lassberg-place-0037|1807-10-04||
80|07.10.|Unbekannt|Elisabeth zu Fürstenberg|136284124|https://de.wikipedia.org/wiki/Elisabeth_zu_F%C3%BCrstenberg||Donaueschingen|Fürstlich Fürstenbergisches Archiv|1807|VON|lassberg-correspondent-0076|Fürstenberg, Elisabeth zu|female|1767|-|-|-|-|||lassberg-place-0152|1807-10-07||
