ID;Nummer_Harris;Ort;Name;GND;Wiki;Journalnummer;Aufbewahrungsort;Aufbewahrungsinstitution;Jahr;VON/AN;person_id;name_gnd;gender_gnd;birth_gnd;occupations_gnd;publications_gnd;degrees_gnd;coordinates_wiki;text;url;place_id;Datum;letter_text;status_letter_text;summary_en;persons_mentioned;topics_mentioned;normalized_text
lassberg-letter-3111;713;Eppishausen;Johann Daniel Wilhelm Hartmann;10058019X;https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann;84;St.Gallen;Kantonsbibliothek;1830;VON;lassberg-correspondent-0196;Hartmann, Wilhelm;male;1793;Künstler;1;-;48.16666667,10.51666667;;;lassberg-place-0043;1830;;;;;;
lassberg-letter-3112;938;Unbekannt;Friedrich Heinrich Bothe;100051960;https://www.deutsche-biographie.de/sfz5411.html;120;Dortmund;Stadt- und Landesbibliothek;1837;VON;lassberg-correspondent-0118;Bothe, Friedrich Heinrich;male;1771;Schriftsteller,Ãœbersetzer,Klassischer Philologe;10;-;-;;;lassberg-place-0152;1837;;;;;;
lassberg-letter-3113;1067;Meersburg;Johann Adam Pupikofer;11565108X;https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer;166;Karlsruhe;Badische Landesbibliothek;1839;VON;lassberg-correspondent-0179;Pupikofer, Johann Adam;male;1797;Pfarrer,Archivar,Historiker,Bibliothekar;8;-;47.7,9.26666667;;;lassberg-place-0101;1839;;;;;;
lassberg-letter-3114;1198;Unbekannt;Johann Leonhard Hug;118707884;https://de.wikipedia.org/wiki/Johann_Leonhard_Hug;190;Karlsruhe;Badische Landesbibliothek;1842;VON;lassberg-correspondent-0206;Hug, Johann Leonhard;male;1765;Katholischer Theologe,Orientalist,Alttestamentler,Hochschullehrer,Priester;9;Prof. Dr. theol.;-;;;lassberg-place-0152;1842;;;;;;
lassberg-letter-3115;1219;Unbekannt;August Ludwig Reyscher;11874478X;https://de.wikipedia.org/wiki/August_Ludwig_Reyscher;?;Basel;Staatsarchiv des Kantons Basel-Stadt;1843;VON;lassberg-correspondent-0025;Reyscher, August Ludwig;male;1802;Politiker,Jurist;11;-;-;Wackernagel: Albert Leitzmann, Briefe aus dem Nachlaß Wilhelm Wackernagels. VI.: Briefe von Joseph von Laßberg. In: Abhandlungen der phil.-hist. Klasse der Kgl. Sächsischen Gesellschaft der Wissenschaften 34,1. Leipzig 1916, S. 92-130, S. 129;-;lassberg-place-0152;1843;;;;;;
lassberg-letter-3116;1225;Unbekannt;Ludwig Uhland;118625063;https://de.wikipedia.org/wiki/Ludwig_Uhland;;Marbach am Neckar;Schiller Nationalmuseum;1843;VON;lassberg-correspondent-0288;Uhland, Ludwig;male;1787;Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller;8;Dr.;-;;;lassberg-place-0152;1843;;;;;;
lassberg-letter-3117;1297;Unbekannt;Johann Caspar von Orelli;118787179;https://de.wikipedia.org/wiki/Johann_Caspar_von_Orelli;66;Zürich;Zentralbibliothek;1846;VON;lassberg-correspondent-0192;Orelli, Johann Kaspar von;male;1787;Schriftsteller,Theologe,Klassischer Philologe,Pfarrer;5;Prof.;-;;;lassberg-place-0152;1846;;;;;;
lassberg-letter-3118;1331;Unbekannt;Traugott Märcker;100838995;https://de.wikipedia.org/wiki/Traugott_M%C3%A4rcker;105;Karlsruhe;Badische Landesbibliothek;1847;VON;lassberg-correspondent-0352;Märcker, Traugott;male;1811;Redakteur,Archivar,Historiker;-;-;-;;;lassberg-place-0152;1847;;;;;;
lassberg-letter-3119;1334;Unbekannt;Hermann von Liebenau;116987650;https://de.wikipedia.org/wiki/Hermann_von_Liebenau;122;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1847;VON;lassberg-correspondent-0160;Liebenau, Hermann von;male;1807;Arzt,Historiker;-;Dr. med.;-;;;lassberg-place-0152;1847;;;;;;
lassberg-letter-3120;1435;Meersburg;Anna von Arnswaldt;116352604;https://de.wikipedia.org/wiki/Anna_von_Arnswaldt;174;Berlin;Deutsche Staatsbibliothek;1849;VON;lassberg-correspondent-0017;Arnswaldt, Anna von;female;1801;-;-;-;47.7,9.26666667;;;lassberg-place-0101;1849;;;;;;
lassberg-letter-0001;1566;Freiburg i. Brsg;Johann Alphons von Lugo-;172709563;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1788;AN;lassberg-correspondent-0181;Lugo, Johann Alphons von;notKnown;1745;-;-;-;-;;;lassberg-place-0050;1788-06-17;;;;;;
lassberg-letter-0002;1567;Freiburg i. Brsg;Carl Banger;123776341;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1788;AN;lassberg-correspondent-0052;Banger, Karl;notKnown;1761;-;2;-;-;;;lassberg-place-0050;1788-06-28;;;;;;
lassberg-letter-0003;1568;Freiburg i. Brsg;Carl Banger;123776341;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1788;AN;lassberg-correspondent-0052;Banger, Karl;notKnown;1761;-;2;-;-;;;lassberg-place-0050;1788-06-29;;;;;;
lassberg-letter-0004;1569;Donaueschingen;Joseph Konrad Eckhard;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1789;AN;lassberg-correspondent-0233;-;-;-;-;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1789-04-05;;;;;;
lassberg-letter-0005;1570;Hechingen;Josef Friedrich Wilhelm von Hohenzollern-Hechingen;129884251;https://de.wikipedia.org/wiki/Josef_Friedrich_Wilhelm_%28Hohenzollern-Hechingen%29;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1789;AN;lassberg-correspondent-0220;Joseph Friedrich Wilhelm, Hohenzollern-Hechingen, Fürst;male;1717;Militär;-;-;48.35166667,8.96333333;;;lassberg-place-0064;1789-04-12;;;;;;
lassberg-letter-0006;1;Donaueschingen;Regierungspräsidium;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1792;VON;lassberg-correspondent-0328;-;-;-;-;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1792-03-08;;;;;;
lassberg-letter-0007;1571;Donaueschingen;Joseph Maria Benedikt zu Fürstenberg-Stühlingen;1021174238;https://de.wikipedia.org/wiki/Joseph_Maria_%28F%C3%BCrstenberg-St%C3%BChlingen%29;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1792;AN;lassberg-correspondent-0234;Joseph Maria Benedikt Karl, Fürstenberg, Fürst;male;1758;-;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1792-07-04;;;;;;
lassberg-letter-0008;1572;Donaueschingen;Joseph Maria Benedikt zu Fürstenberg-Stühlingen;1021174238;https://de.wikipedia.org/wiki/Joseph_Maria_%28F%C3%BCrstenberg-St%C3%BChlingen%29;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1792;AN;lassberg-correspondent-0234;Joseph Maria Benedikt Karl, Fürstenberg, Fürst;male;1758;-;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1792-07-04;;;;;;
lassberg-letter-0009;2;Donaueschingen;Hofkammer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1792;VON;lassberg-correspondent-0165;-;-;-;-;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1792-09-19;;;;;;
lassberg-letter-0010;1573;Donaueschingen;Hofkammer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1793;AN;lassberg-correspondent-0165;-;-;-;-;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1793-04-08;;;;;;
lassberg-letter-0011;3;Heiligenberg;Joseph Maria Benedikt zu Fürstenberg-Stühlingen;1021174238;https://de.wikipedia.org/wiki/Joseph_Maria_%28F%C3%BCrstenberg-St%C3%BChlingen%29;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1795;VON;lassberg-correspondent-0234;Joseph Maria Benedikt Karl, Fürstenberg, Fürst;male;1758;-;-;-;47.82083333,9.3125;;;lassberg-place-0066;1795-02-01;;;;;;
lassberg-letter-0012;1574;Röhrenbach;Franz Bernhard Neuffer;1026633168;https://de.wikipedia.org/wiki/Franz_Bernhard_Neuffer;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1795;AN;lassberg-correspondent-0095;Neuffer, Franz Bernhard;male;1747;Pfarrer;1;-;48.65,15.51666667;;;lassberg-place-0119;1795-03-15;;;;;;
lassberg-letter-0013;4;Unbekannt;Hofkammer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1795;VON;lassberg-correspondent-0165;-;-;-;-;-;-;-;;;lassberg-place-0152;1795-11-18;;;;;;
lassberg-letter-0014;1575;Donaueschingen;Hofkammer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1795;AN;lassberg-correspondent-0165;-;-;-;-;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1795-12-10;;;;;;
lassberg-letter-0015;1576;Feuerthalen;Caroline Luise von Schaumburg-Lippe;117112887;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1796;AN;lassberg-correspondent-0061;Schaumburg-Lippe, Caroline Luise von;female;1786;-;-;-;47.68333333,8.65;;;lassberg-place-0046;1796-08-27;;;;;;
lassberg-letter-0016;1577;Kehl;Franz Anton Seraphicus Graf von Harrach zu Rohrau;-;-;;Karlsruhe;Badische Landesbibliothek;1796;AN;lassberg-correspondent-0092;-;-;-;-;-;-;48.56666667,7.81666667;;;lassberg-place-0076;1796-12-04;;;;;;
lassberg-letter-0017;1578;Lindau;Franz Joseph Kolb;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1798;AN;lassberg-correspondent-0102;-;-;-;-;-;-;47.54583333,9.68333333;;;lassberg-place-0090;1798-05-22;;;;;;
lassberg-letter-0018;1579;Brauneberg;Unbekannt;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1798;AN;lassberg-correspondent-0354;-;-;-;-;-;-;49.90833333,6.98527778;;;lassberg-place-0029;1798-10-16;;;;;;
lassberg-letter-0019;1580;Donaueschingen;Hofkammer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1799;AN;lassberg-correspondent-0165;-;-;-;-;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1799-08-13;;;;;;
lassberg-letter-0020;5;Heiligenberg;Hofkammer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1799;VON;lassberg-correspondent-0165;-;-;-;-;-;-;47.82083333,9.3125;;;lassberg-place-0066;1799-08-20;;;;;;
lassberg-letter-0021;1581;Donaueschingen;Hofkammer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1799;AN;lassberg-correspondent-0165;-;-;-;-;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1799-08-24;;;;;;
lassberg-letter-0022;6;Helmsdorf;Joseph Roth von Schreckenstein;100660355;https://de.wikipedia.org/wiki/Friedrich_Josef_Anton_von_Schreckenstein;62;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1800;VON;lassberg-correspondent-0236;Roth von Schreckenstein, Friedrich;male;1753;Naturwissenschaftler,Beamter;4;-;-;;;lassberg-place-0067;1800-02-28;;;;;;
lassberg-letter-0023;7;Heiligenberg;Hofkammer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1800;VON;lassberg-correspondent-0165;-;-;-;-;-;-;47.82083333,9.3125;;;lassberg-place-0066;1800-04-25;;;;;;
lassberg-letter-0024;8;Heiligenberg;Fürstlich Fürstenbergische Forstkammer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1800;VON;lassberg-correspondent-0129;-;-;-;-;-;-;47.82083333,9.3125;;;lassberg-place-0066;1800-07-18;;;;;;
lassberg-letter-0025;9;Helmsdorf;Joseph Roth von Schreckenstein;100660355;https://de.wikipedia.org/wiki/Friedrich_Josef_Anton_von_Schreckenstein;3;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1801;VON;lassberg-correspondent-0236;Roth von Schreckenstein, Friedrich;male;1753;Naturwissenschaftler,Beamter;4;-;-;;;lassberg-place-0067;1801-01-01;;;;;;
lassberg-letter-0026;1582;Donaueschingen;Karl Joachim (Fürstenberg-Stühlingen);1017810869;https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen);;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1801;AN;lassberg-correspondent-0259;Karl Joachim, Fürstenberg, Fürst;male;1771;Soldat;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1801-11-14;;;;;;
lassberg-letter-0027;1583;Donaueschingen;Karl Joachim (Fürstenberg-Stühlingen);1017810869;https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen);;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1802;AN;lassberg-correspondent-0259;Karl Joachim, Fürstenberg, Fürst;male;1771;Soldat;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1802-01-16;;;;;;
lassberg-letter-0028;10;Heiligenberg;Karl Joachim (Fürstenberg-Stühlingen);1017810869;https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen);;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1802;VON;lassberg-correspondent-0259;Karl Joachim, Fürstenberg, Fürst;male;1771;Soldat;-;-;47.82083333,9.3125;;;lassberg-place-0066;1802-04-10;;;;;;
lassberg-letter-0029;1584;Donaueschingen;Karl Joachim (Fürstenberg-Stühlingen);1017810869;https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen);;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1802;AN;lassberg-correspondent-0259;Karl Joachim, Fürstenberg, Fürst;male;1771;Soldat;-;-;47.95305556,8.50333333;;;lassberg-place-0037;1802-04-14;;;;;;
lassberg-letter-0030;1585;Sigmaringen;Vaterländische Gesellschaft der Änte und Naturforscher Schwabens;-;-;;Karlsruhe;Badische Landesbibliothek;1802;AN;lassberg-correspondent-0355;-;-;-;-;-;-;48.08666667,9.21638889;;;lassberg-place-0136;1802-05-09;;;;;;
lassberg-letter-0031;1586;Unbekannt;Franz Xaver Karl;-;-;;Luzern;Staatsarchiv;1802;AN;lassberg-correspondent-0111;-;-;-;-;-;-;-;;;lassberg-place-0152;1802-07-08;;;;;;
lassberg-letter-0032;11;Heiligenberg;Fürstlich Fürstenbergische Forstkammer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1802;VON;lassberg-correspondent-0129;-;-;-;-;-;-;47.82083333,9.3125;;;lassberg-place-0066;1802-08-21;;;;;;
lassberg-letter-0033;12;Habstal;Hofkammer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1802;VON;lassberg-correspondent-0165;-;-;-;-;-;-;-;;;lassberg-place-0062;1802-09-12;;;;;;
lassberg-letter-0034;13;Helmsdorf;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1802;VON;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0067;1802-09-26;;;;;;
lassberg-letter-0035;14;Heiligenberg;Karl Joachim (Fürstenberg-Stühlingen);1017810869;https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen);;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1802;VON;lassberg-correspondent-0259;Karl Joachim, Fürstenberg, Fürst;male;1771;Soldat;-;-;47.82083333,9.3125;;;lassberg-place-0066;1802-10-01;;;;;;
lassberg-letter-0036;15;Heiligenberg;Schneider;-;-;;Karlsruhe;Badische Landesbibliothek;1802;VON;lassberg-correspondent-0336;-;-;-;-;-;-;47.82083333,9.3125;;;lassberg-place-0066;1802-10-02;;;;;;
lassberg-letter-0037;1587;Unbekannt;Karl Joachim (Fürstenberg-Stühlingen);1017810869;https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen);;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1802;AN;lassberg-correspondent-0259;Karl Joachim, Fürstenberg, Fürst;male;1771;Soldat;-;-;-;;;lassberg-place-0152;1802-10-14;;;;;;
lassberg-letter-0038;1588;Freiburg i. Brsg;Schneider;-;-;;Karlsruhe;Badische Landesbibliothek;1802;AN;lassberg-correspondent-0336;-;-;-;-;-;-;-;;;lassberg-place-0050;1802-10-15;;;;;;
lassberg-letter-0039;1589;Unbekannt;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1802;AN;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0152;1802-10-16;;;;;;
lassberg-letter-0040;16;Heiligenberg;Karl Joachim (Fürstenberg-Stühlingen);1017810869;https://de.wikipedia.org/wiki/Karl_Joachim_(F%C3%BCrstenberg-St%C3%BChlingen);;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1802;VON;lassberg-correspondent-0259;Karl Joachim, Fürstenberg, Fürst;male;1771;Soldat;-;-;47.82083333,9.3125;;;lassberg-place-0066;1802-10-30;;;;;;
lassberg-letter-0041;17;Helmsdorf;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1802;VON;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0067;1802-11-14;;;;;;
lassberg-letter-0042;18;Helmsdorf;Joseph von Bayer;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1802;VON;lassberg-correspondent-0239;-;-;-;-;-;-;-;;;lassberg-place-0067;1802-11-16;;;;;;
lassberg-letter-0043;1590;Florenz;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1802;AN;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0047;1802-11-20;;;;;;
lassberg-letter-0044;1591;Florenz;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1802;AN;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0047;1802-12-25;;;;;;
lassberg-letter-0045;1592;Unbekannt;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1803;AN;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0152;1803-02-19;;;;;;
lassberg-letter-0046;1593;Unbekannt;Unbekannt;-;-;;Donaueschingen;Fürstlich Fürstenbergisches Archiv;1803;AN;lassberg-correspondent-0354;-;-;-;-;-;-;-;;;lassberg-place-0152;1803-05-16;;;;;;
lassberg-letter-0047;1594;Florenz;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1803;AN;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0047;1803-06-02;;;;;;
lassberg-letter-0048;19;Heiligenberg;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1803;VON;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;47.82083333,9.3125;;;lassberg-place-0066;1803-06-12;;;;;;
lassberg-letter-0049;1595;Florenz;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1803;AN;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0047;1803-07-23;;;;;;
lassberg-letter-0050;1596;Unbekannt;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1803;AN;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0152;1803-08-02;;;;;;
lassberg-letter-0051;1597;Florenz;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1803;AN;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0047;1803-09-20;;;;;;
lassberg-letter-0052;1598;Florenz;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1803;AN;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0047;1803-11-19;;;;;;
lassberg-letter-0053;21;Unbekannt;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1804;VON;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0152;1804-01-20;;;;;;
lassberg-letter-0054;22;Heiligenberg;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1804;VON;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;47.82083333,9.3125;;;lassberg-place-0066;1804-02-06;;;;;;
lassberg-letter-0055;1599;Unbekannt;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1804;AN;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;-;;;lassberg-place-0152;1804-02-24;;;;;;
lassberg-letter-0056;23;Heiligenberg;Luise zu Stolberg-Gedern;116275316;https://de.wikipedia.org/wiki/Luise_zu_Stolberg-Gedern_(1752%E2%80%931824);;Karlsruhe;Badische Landesbibliothek;1804;VON;lassberg-correspondent-0291;Albany, Louise Maximiliane Caroline Emanuele of;female;1752;-;2;-;47.82083333,9.3125;;;lassberg-place-0066;1804-03-28;;;;;;
