Nummer,Datum,Ort,Name_voll,GND,Wiki,Journalnummer,Aufbewahrungsort,Aufbewahrungsinstitution,Jahr,VON/AN,person_id,name_gnd,gender_gnd,birth_gnd,occupations_gnd,publications_gnd,degrees_gnd,coordinates_wiki,text,url,place_id
779,18.06.,Eppishausen,Johann Heinrich Tanner,1060060795,https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner,179,Aarau,Staatsarchiv,1831,VON,lassberg-correspondent-0201,"Tanner, Johann Heinrich",male,1799,"Textilhandel,Politiker",-,-,"48.16666667,10.51666667","Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃƒÅ¸berg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 125",https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60,lassberg-place-0043
780,21.06.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,183,St.Gallen,Kantonsbibliothek,1831,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
781,03.07.,Eppishausen,Engelhard Wihard,115901583X ,-,187,Freiburg i.Br.,UniversitÃƒÂ¤tsbibliothek,1831,VON,lassberg-correspondent-0080,"Wihard, Engelhard",notKnown,1811,-,1,-,"48.16666667,10.51666667","August Heinrich Hoffmann von Fallersleben, Findlinge Nr. 17: Freiherr von LaÃƒÅ¸berg an den Stud. Wihard. In: Weimarisches Jahrbuch fÃƒÂ¼r deutsche Sprache, Litteratur und Kunst 3 (1855), S. 212ff, S. 213",https://books.google.de/books?id=ZfcbaX_6yIoC,lassberg-place-0043
782,08.07.,Eppishausen,Emil Braun,116415738,https://de.wikipedia.org/wiki/Emil_Braun,?,,,1831,VON,lassberg-correspondent-0079,"Braun, Emil",male,1809,"ArchÃƒÂ¤ologe,Bibliothekar,Kunsthistoriker",10,-,"48.16666667,10.51666667","R. Ehwald, Emil Brauns Briefwechsel mit den BrÃƒÂ¼dern Grimm und Joseph von LaÃƒÅ¸berg. Gotha 1891, S. 89-96",https://books.google.de/books?id=0sUMAQAAIAAJ,lassberg-place-0043
783,12.07.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,194,St.Gallen,Kantonsbibliothek,1831,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
784,15.07.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,196,St.Gallen,Kantonsbibliothek,1831,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
785,22.07.,Eppishausen,Hans von und zu AufseÃƒÅ¸,118848526,https://de.wikipedia.org/wiki/Hans_von_und_zu_Aufse%C3%9F,?,,,1831,VON,lassberg-correspondent-0147,"AufseÃƒÅ¸, Hans von und zu",male,1801,"Jurist,Historiker",14,-,"48.16666667,10.51666667","In: Anzeiger fÃƒÂ¼r Kunde des deutschen Mittelalters 3 (1834), S. 121f, S. 121",https://www.digitale-sammlungen.de/en/view/bsb10001779,lassberg-place-0043
786,26.07.,Eppishausen,Hermann von Liebenau,116987650,https://de.wikipedia.org/wiki/Hermann_von_Liebenau,210,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1831,VON,lassberg-correspondent-0160,"Liebenau, Hermann von",male,1807,"Arzt,Historiker",-,Dr. med.,"48.16666667,10.51666667",,,lassberg-place-0043
787,23.08.,Eppishausen,Johann Adam Pupikofer,11565108X,https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer,236,Winterthur,Stadtbibliothek,1831,VON,lassberg-correspondent-0179,"Pupikofer, Johann Adam",male,1797,"Pfarrer,Archivar,Historiker,Bibliothekar",8,-,"48.16666667,10.51666667","Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 15 (1887), S. 231-88, S. 270",https://books.google.de/books?id=dXkKAAAAIAAJ,lassberg-place-0043
788,23.08.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,239,St.Gallen,Kantonsbibliothek,1831,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
789,23.09.,Eppishausen,Jacob Grimm,118542257,https://de.wikipedia.org/wiki/Jacob_Grimm,?,,,1831,VON,lassberg-correspondent-0170,"Grimm, Jacob",male,1785,"Bibliothekar,Philologe,Schriftsteller,Historiker,Literaturwissenschaftler,Jurist,Hochschullehrer",6,Prof.,"48.16666667,10.51666667","Karl Schulte Kemminghausen. Nachtrag zum Briefwechsel zwischen Jakob Grimm und Joseph von LaÃƒÅ¸berg. In: Sitzungsberichte der PreuÃƒÅ¸ischen Akademie der Wissenschaften. Berlin 1933, S. 754-87, S. 761",-,lassberg-place-0043
790,25.09.,Eppishausen,Ludwig Uhland,118625063,https://de.wikipedia.org/wiki/Ludwig_Uhland,257,Marbach am Neckar,Schiller Nationalmuseum,1831,VON,lassberg-correspondent-0288,"Uhland, Ludwig",male,1787,"Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller",8,Dr.,"48.16666667,10.51666667","Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von LaÃƒÅ¸berg und Ludwig Uhland. Wien 1870, S. 21",https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1,lassberg-place-0043
791,28.09.,Eppishausen,Jacob Grimm,118542257,https://de.wikipedia.org/wiki/Jacob_Grimm,,Karlsruhe,Badische Landesbibliothek,1831,VON,lassberg-correspondent-0170,"Grimm, Jacob",male,1785,"Bibliothekar,Philologe,Schriftsteller,Historiker,Literaturwissenschaftler,Jurist,Hochschullehrer",6,Prof.,"48.16666667,10.51666667","Karl Schulte Kemminghausen. Nachtrag zum Briefwechsel zwischen Jakob Grimm und Joseph von LaÃƒÅ¸berg. In: Sitzungsberichte der PreuÃƒÅ¸ischen Akademie der Wissenschaften. Berlin 1933, S. 754-87, S. 761",-,lassberg-place-0043
792,07.10.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,267,St.Gallen,Kantonsbibliothek,1831,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
793,08.10.,Eppishausen,Jacob Grimm,118542257,https://de.wikipedia.org/wiki/Jacob_Grimm,268,Berlin,Staatsbibliothek Preussischer Kulturbesitz,1831,VON,lassberg-correspondent-0170,"Grimm, Jacob",male,1785,"Bibliothekar,Philologe,Schriftsteller,Historiker,Literaturwissenschaftler,Jurist,Hochschullehrer",6,Prof.,"48.16666667,10.51666667","Albert Leitzmann, Briefe des Freiherrn Joseph von LaÃƒÅ¸berg an Jakob Grimm. In: Sitzungsberichte der PreuÃƒÅ¸ischen Akademie der Wissenschaften. Berlin 1931, S. 1026-1105, S. 108",-,lassberg-place-0043
794,13.10.,Eppishausen,Emil Braun,116415738,https://de.wikipedia.org/wiki/Emil_Braun,?,,,1831,VON,lassberg-correspondent-0079,"Braun, Emil",male,1809,"ArchÃƒÂ¤ologe,Bibliothekar,Kunsthistoriker",10,-,"48.16666667,10.51666667","R. Ehwald, Emil Brauns Briefwechsel mit den BrÃƒÂ¼dern Grimm und Joseph von LaÃƒÅ¸berg. Gotha 1891, S. 112",https://books.google.de/books?id=0sUMAQAAIAAJ,lassberg-place-0043
795,13.10.,Eppishausen,Ludwig Uhland,118625063,https://de.wikipedia.org/wiki/Ludwig_Uhland,275,Marbach am Neckar,Schiller Nationalmuseum,1831,VON,lassberg-correspondent-0288,"Uhland, Ludwig",male,1787,"Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller",8,Dr.,"48.16666667,10.51666667","Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von LaÃƒÅ¸berg und Ludwig Uhland. Wien 1870, S. 213",https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1,lassberg-place-0043
796,15.10.,Eppishausen,Jacob Grimm,118542257,https://de.wikipedia.org/wiki/Jacob_Grimm,279,Berlin,Staatsbibliothek Preussischer Kulturbesitz,1831,VON,lassberg-correspondent-0170,"Grimm, Jacob",male,1785,"Bibliothekar,Philologe,Schriftsteller,Historiker,Literaturwissenschaftler,Jurist,Hochschullehrer",6,Prof.,"48.16666667,10.51666667","Albert Leitzmann, Briefe des Freiherrn Joseph von LaÃƒÅ¸berg an Jakob Grimm. In: Sitzungsberichte der PreuÃƒÅ¸ischen Akademie der Wissenschaften. Berlin 1931, S. 1026-1105, S. 1081",-,lassberg-place-0043
797,16.10.,Eppishausen,Ludowine von Haxthausen,11655245X,-,281,Berlin,Deutsche Staatsbibliothek,1831,VON,lassberg-correspondent-0280,"Haxthausen, Ludowine von",female,1794,Kanonissen,-,-,"48.16666667,10.51666667","Alexander Reifferscheid, Freundesbriefe von Wilhelm und Jacob Grimm. Heilbronn 1878, S. 235",https://books.google.de/books?id=BGEGAQAAIAAJ,lassberg-place-0043
798,18.10.,Eppishausen,Jacob Grimm,118542257,https://de.wikipedia.org/wiki/Jacob_Grimm,285,Berlin,Staatsbibliothek Preussischer Kulturbesitz,1831,VON,lassberg-correspondent-0170,"Grimm, Jacob",male,1785,"Bibliothekar,Philologe,Schriftsteller,Historiker,Literaturwissenschaftler,Jurist,Hochschullehrer",6,Prof.,"48.16666667,10.51666667","Albert Leitzmann, Briefe des Freiherrn Joseph von LaÃƒÅ¸berg an Jakob Grimm. In: Sitzungsberichte der PreuÃƒÅ¸ischen Akademie der Wissenschaften. Berlin 1931, S. 1026-1105, S. 1082",-,lassberg-place-0043
799,26.10.,Eppishausen,Hermann von Liebenau,116987650,https://de.wikipedia.org/wiki/Hermann_von_Liebenau,288,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1831,VON,lassberg-correspondent-0160,"Liebenau, Hermann von",male,1807,"Arzt,Historiker",-,Dr. med.,"48.16666667,10.51666667",,,lassberg-place-0043
800,02.11.,Eppishausen,Jacob Grimm,118542257,https://de.wikipedia.org/wiki/Jacob_Grimm,295,Karlsruhe,Badische Landesbibliothek,1831,VON,lassberg-correspondent-0170,"Grimm, Jacob",male,1785,"Bibliothekar,Philologe,Schriftsteller,Historiker,Literaturwissenschaftler,Jurist,Hochschullehrer",6,Prof.,"48.16666667,10.51666667","Karl Schulte Kemminghausen. Nachtrag zum Briefwechsel zwischen Jakob Grimm und Joseph von LaÃƒÅ¸berg. In: Sitzungsberichte der PreuÃƒÅ¸ischen Akademie der Wissenschaften. Berlin 1933, S. 754-87, S. 762",-,lassberg-place-0043
801,08.11.,Eppishausen,Unbekannt,-,-,302,Braunschweig,Stadtarchiv,1831,VON,lassberg-correspondent-0354,-,-,-,-,-,-,"48.16666667,10.51666667",,,lassberg-place-0043
802,04.12.,Eppishausen,Emil Braun,116415738,https://de.wikipedia.org/wiki/Emil_Braun,?,,,1831,VON,lassberg-correspondent-0079,"Braun, Emil",male,1809,"ArchÃƒÂ¤ologe,Bibliothekar,Kunsthistoriker",10,-,"48.16666667,10.51666667",,,lassberg-place-0043
803,07.01.,Eppishausen,Johann Caspar von Orelli,118787179,https://de.wikipedia.org/wiki/Johann_Caspar_von_Orelli,5,ZÃƒÂ¼rich,Zentralbibliothek,1832,VON,lassberg-correspondent-0192,"Orelli, Johann Kaspar von",male,1787,"Schriftsteller,Theologe,Klassischer Philologe,Pfarrer",5,Prof.,"48.16666667,10.51666667",,,lassberg-place-0043
804,22.01.,Eppishausen,Hermann von Liebenau,116987650,https://de.wikipedia.org/wiki/Hermann_von_Liebenau,17,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1832,VON,lassberg-correspondent-0160,"Liebenau, Hermann von",male,1807,"Arzt,Historiker",-,Dr. med.,"48.16666667,10.51666667",,,lassberg-place-0043
805,26.01.,Eppishausen,Ludwig Uhland,118625063,https://de.wikipedia.org/wiki/Ludwig_Uhland,24,Marbach am Neckar,Schiller Nationalmuseum,1832,VON,lassberg-correspondent-0288,"Uhland, Ludwig",male,1787,"Jurist,Abgeordneter,Literarhistoriker,Politiker,Hochschullehrer,Germanist,Librettist,Schriftsteller",8,Dr.,"48.16666667,10.51666667","Franz Pfeiffer (Hg.), Briefwechsel zwischen Joseph Freiherrn von LaÃƒÅ¸berg und Ludwig Uhland. Wien 1870, S. 216-19",https://www.digitale-sammlungen.de/en/view/bsb10620870?page=1,lassberg-place-0043
806,29.01.,Eppishausen,Johann Caspar Zellweger,116978813,https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger,30,Trogen,Kantonsbibliothek Appenzell A.Rh.,1832,VON,lassberg-correspondent-0193,"Zellweger, Johann Caspar",male,1768,"Kaufmann,Historiker",4,-,"48.16666667,10.51666667","Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 133",https://books.google.de/books?id=KIHHQBvr1nkC,lassberg-place-0043
807,14.02.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,41,St.Gallen,Kantonsbibliothek,1832,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
808,16.02.,Eppishausen,Egbert Friedrich von MÃƒÂ¼linen,101397593,https://de.wikipedia.org/wiki/Egbert_Friedrich_von_M%C3%BClinen,45,Bern,Burgerbibliothek,1832,VON,lassberg-correspondent-0075,"MÃƒÂ¼linen, Egbert Friedrich von",male,1817,"Historiker,Privatgelehrter",2,-,"48.16666667,10.51666667",,,lassberg-place-0043
809,17.02.,Eppishausen,Johann Adam Pupikofer,11565108X,https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer,47,Winterthur,Stadtbibliothek,1832,VON,lassberg-correspondent-0179,"Pupikofer, Johann Adam",male,1797,"Pfarrer,Archivar,Historiker,Bibliothekar",8,-,"48.16666667,10.51666667","Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 15 (1887), S. 231-88, S. 270",https://books.google.de/books?id=dXkKAAAAIAAJ,lassberg-place-0043
810,21.02.,Eppishausen,Ludowine von Haxthausen,11655245X,-,52,Berlin,Deutsche Staatsbibliothek,1832,VON,lassberg-correspondent-0280,"Haxthausen, Ludowine von",female,1794,Kanonissen,-,-,"48.16666667,10.51666667","Alexander Reifferscheid, Freundesbriefe von Wilhelm und Jacob Grimm. Heilbronn 1878, S. 236",https://books.google.de/books?id=BGEGAQAAIAAJ,lassberg-place-0043
811,21.02.,Eppishausen,Sophie von Haxthausen,11655259X,-,53,Berlin,Deutsche Staatsbibliothek,1832,VON,lassberg-correspondent-0341,"Haxthausen, Sophie von",female,1787,-,-,-,"48.16666667,10.51666667",,,lassberg-place-0043
812,02.03.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,61,St.Gallen,Kantonsbibliothek,1832,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
813,09.03.,Eppishausen,Gustav Schwab,118762745,https://de.wikipedia.org/wiki/Gustav_Schwab,68,TÃƒÂ¼bingen,UniversitÃƒÂ¤tsbibliothek,1832,VON,lassberg-correspondent-0145,"Schwab, Gustav",male,1792,"Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker",8,Prof. Dr. theol. h.c.,"48.16666667,10.51666667",,,lassberg-place-0043
814,13.03.,Eppishausen,Johann Caspar Zellweger,116978813,https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger,70,Trogen,Kantonsbibliothek Appenzell A.Rh.,1832,VON,lassberg-correspondent-0193,"Zellweger, Johann Caspar",male,1768,"Kaufmann,Historiker",4,-,"48.16666667,10.51666667",,,lassberg-place-0043
815,14.03.,Eppishausen,Georg Friedrich Benecke,11865537X,https://de.wikipedia.org/wiki/Georg_Friedrich_Benecke,?,,,1832,VON,lassberg-correspondent-0134,"Benecke, Georg Friedrich",male,1762,"Bibliothekar,Philologe,Germanist",8,Prof.,"48.16666667,10.51666667","Rudolf Baier, Briefe aus der FrÃƒÂ¼hzeit der deutschen Philologie an Georg Friedrich Benecke. Leipzig 1901 (unverÃƒÂ¤nderter Neudruck: Wiesbaden 1966), S. 78-81",https://digital.slub-dresden.de/werkansicht/dlf/77368/1,lassberg-place-0043
816,16.03.,Eppishausen,Unbekannt,-,-,73,Dortmund,Stadt- und Landesbibliothek,1832,VON,lassberg-correspondent-0354,-,-,-,-,-,-,"48.16666667,10.51666667",,,lassberg-place-0043
817,25.03.,Eppishausen,Karl Hartwig Gregor von Meusebach,118733230,https://de.wikipedia.org/wiki/Karl_Hartwig_Gregor_von_Meusebach,78,Berlin,Staatsbibliothek Preussischer Kulturbesitz,1832,VON,lassberg-correspondent-0256,"Meusebach, Karl Hartwig Gregor von",male,1781,"Literarhistoriker,Germanist,Bibliophiler,Jurist",3,-,"48.16666667,10.51666667",,,lassberg-place-0043
818,30.03.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,85,St.Gallen,Kantonsbibliothek,1832,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
819,31.03.,Eppishausen,Johann Adam Pupikofer,11565108X,https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer,,Winterthur,Stadtbibliothek,1832,VON,lassberg-correspondent-0179,"Pupikofer, Johann Adam",male,1797,"Pfarrer,Archivar,Historiker,Bibliothekar",8,-,"48.16666667,10.51666667","Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 15 (1887), S. 231-88, S. 272",https://books.google.de/books?id=dXkKAAAAIAAJ,lassberg-place-0043
820,03.04.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,91,St.Gallen,Kantonsbibliothek,1832,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
821,04.04.,Eppishausen,Egbert Friedrich von MÃƒÂ¼linen,101397593,https://de.wikipedia.org/wiki/Egbert_Friedrich_von_M%C3%BClinen,93,Bern,Burgerbibliothek,1832,VON,lassberg-correspondent-0075,"MÃƒÂ¼linen, Egbert Friedrich von",male,1817,"Historiker,Privatgelehrter",2,-,"48.16666667,10.51666667",,,lassberg-place-0043
822,24.04.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,116,St.Gallen,Kantonsbibliothek,1832,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
823,27.04.,Eppishausen,Johann Caspar Zellweger,116978813,https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger,,Trogen,Kantonsbibliothek Appenzell A.Rh.,1832,VON,lassberg-correspondent-0193,"Zellweger, Johann Caspar",male,1768,"Kaufmann,Historiker",4,-,"48.16666667,10.51666667","Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 14",https://books.google.de/books?id=KIHHQBvr1nkC,lassberg-place-0043
824,28.04.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,,St.Gallen,Kantonsbibliothek,1832,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
825,29.04.,Eppishausen,Ulrich Hegner,116572167,https://de.wikipedia.org/wiki/Ulrich_Hegner,120,Winterthur,Stadtbibliothek,1832,VON,lassberg-correspondent-0353,"Hegner, Ulrich",male,1759,"Politiker,Arzt,Schriftsteller",10,-,"48.16666667,10.51666667",,,lassberg-place-0043
826,07.05.,Eppishausen,Johann Caspar von Orelli,118787179,https://de.wikipedia.org/wiki/Johann_Caspar_von_Orelli,138,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1832,VON,lassberg-correspondent-0192,"Orelli, Johann Kaspar von",male,1787,"Schriftsteller,Theologe,Klassischer Philologe,Pfarrer",5,Prof.,"48.16666667,10.51666667",,,lassberg-place-0043
827,01.06.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,151,St.Gallen,Kantonsbibliothek,1832,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
828,04.06.,Eppishausen,Christian Wilhelm Sixt von Armin,117662585,https://lobid.org/gnd/117662585,149,Krakau,Jagiellonische Bibliothek,1832,VON,lassberg-correspondent-0066,"Armin, Christian Wilhelm Sixt von",male,1784,Diplomat,-,-,"48.16666667,10.51666667",,,lassberg-place-0043
829,14.06.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,,St.Gallen,Kantonsbibliothek,1832,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
830,29.07.,Eppishausen,Hermann von Liebenau,116987650,https://de.wikipedia.org/wiki/Hermann_von_Liebenau,185,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1832,VON,lassberg-correspondent-0160,"Liebenau, Hermann von",male,1807,"Arzt,Historiker",-,Dr. med.,"48.16666667,10.51666667",,,lassberg-place-0043
831,29.07.,Eppishausen,Johann Heinrich Tanner,1060060795,https://de.wikipedia.org/wiki/Johann_Heinrich_Tanner,186,Aarau,Staatsarchiv,1832,VON,lassberg-correspondent-0201,"Tanner, Johann Heinrich",male,1799,"Textilhandel,Politiker",-,-,"48.16666667,10.51666667","Eduard Vischer, Politik und Freundschaft. Der Briefwechsel des Freiherrn J. von LaÃƒÅ¸berg und K.R. Tanners in Auswahl. In: Argovia 60 (1948), S. 89-149, S. 128-32",https://www.e-periodica.ch/digbib/view?pid=arg-001%253A1948%253A60,lassberg-place-0043
832,17.08.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,196,St.Gallen,Kantonsbibliothek,1832,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
833,21.08.,Eppishausen,Johann Adam Pupikofer,11565108X,https://de.wikipedia.org/wiki/Johann_Adam_Pupikofer,203,Winterthur,Stadtbibliothek,1832,VON,lassberg-correspondent-0179,"Pupikofer, Johann Adam",male,1797,"Pfarrer,Archivar,Historiker,Bibliothekar",8,-,"48.16666667,10.51666667","Johannes Meyer, Briefwechsel zwischen J. von Laszberg und Johann Adam Pupikofer. In: Alemannia 15 (1887), S. 231-88, S. 272",https://books.google.de/books?id=dXkKAAAAIAAJ,lassberg-place-0043
834,28.08.,Eppishausen,Gustav Schwab,118762745,https://de.wikipedia.org/wiki/Gustav_Schwab,206,TÃƒÂ¼bingen,UniversitÃƒÂ¤tsbibliothek,1832,VON,lassberg-correspondent-0145,"Schwab, Gustav",male,1792,"Evangelischer Theologe,Gymnasiallehrer,Pfarrer,Klassischer Philologe,Schriftsteller,Literarhistoriker",8,Prof. Dr. theol. h.c.,"48.16666667,10.51666667",,,lassberg-place-0043
835,28.08.,Eppishausen,Johann Caspar Zellweger,116978813,https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger,208,Trogen,Kantonsbibliothek Appenzell A.Rh.,1832,VON,lassberg-correspondent-0193,"Zellweger, Johann Caspar",male,1768,"Kaufmann,Historiker",4,-,"48.16666667,10.51666667","Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 144/t",https://books.google.de/books?id=KIHHQBvr1nkC,lassberg-place-0043
836,11.09.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,217,St.Gallen,Kantonsbibliothek,1832,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
837,20.11.,Eppishausen,Johann Caspar Zellweger,116978813,https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger,260,Trogen,Kantonsbibliothek Appenzell A.Rh.,1832,VON,lassberg-correspondent-0193,"Zellweger, Johann Caspar",male,1768,"Kaufmann,Historiker",4,-,"48.16666667,10.51666667","Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 146",https://books.google.de/books?id=KIHHQBvr1nkC,lassberg-place-0043
838,20.11.,Eppishausen,Franz Becker,11610290X,-,261,Donaueschingen,FÃƒÂ¼rstlich FÃƒÂ¼rstenbergisches Archiv,1832,VON,lassberg-correspondent-0094,"Becker, Franz",male,1798,"Prediger,Theologe",-,-,"48.16666667,10.51666667",,,lassberg-place-0043
839,06.12.,Eppishausen,Johann Caspar Zellweger,116978813,https://de.wikipedia.org/wiki/Johann_Caspar_Zellweger,268,Trogen,Kantonsbibliothek Appenzell A.Rh.,1832,VON,lassberg-correspondent-0193,"Zellweger, Johann Caspar",male,1768,"Kaufmann,Historiker",4,-,"48.16666667,10.51666667","Carl Ritter, Briefwechsel zwischen Joseph Freiherrn von Lassberg und Johann Caspar Zellweger. St.Gallen 1889, S. 148",https://books.google.de/books?id=KIHHQBvr1nkC,lassberg-place-0043
840,13.01.,Eppishausen,Johann Daniel Wilhelm Hartmann,10058019X,https://de.wikipedia.org/wiki/Johann_Daniel_Wilhelm_Hartmann,7,St.Gallen,Kantonsbibliothek,1833,VON,lassberg-correspondent-0196,"Hartmann, Wilhelm",male,1793,KÃƒÂ¼nstler,1,-,"48.16666667,10.51666667",,,lassberg-place-0043
841,24.01.,Unbekannt,Ludowine von Haxthausen,11655245X,-,10,Berlin,Deutsche Staatsbibliothek,1833,VON,lassberg-correspondent-0280,"Haxthausen, Ludowine von",female,1794,Kanonissen,-,-,-,"Alexander Reifferscheid, Freundesbriefe von Wilhelm und Jacob Grimm. Heilbronn 1878, S. 239-42",https://books.google.de/books?id=BGEGAQAAIAAJ,lassberg-place-0152
